timestamp,t_hours,t_out_c,ghi_w_m2,rh_out_frac,wind_m_s,t_in_c,rh_in_frac,heat_setpoint_c,hvac_kw,hvac_on_frac,heating_on_frac,cooling_on_frac,hvac_runtime_s,q_int_kw_hidden,split
2024-07-15 00:02:00.000019669,0.03333334,28.135492,0.0,0.25,3.0666795,25.588177,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.5659346,train
2024-07-15 00:07:00.000028610,0.116666675,27.59232,0.0,0.25,3.1639225,25.467258,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.52780026,train
2024-07-15 00:12:00.000118018,0.20000003,27.527538,0.0,0.25,3.2777956,25.53993,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.54307806,train
2024-07-15 00:17:00.000100136,0.28333336,27.793322,0.0,0.25,3.1719491,25.563124,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.5657504,train
2024-07-15 00:22:00.000135897,0.3666667,27.684765,0.0,0.25,2.9519346,25.55143,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.58923495,train
2024-07-15 00:27:00.000064371,0.45000002,27.86784,0.0,0.25,3.0033002,25.465557,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.62451833,train
2024-07-15 00:31:59.999885558,0.5333333,27.65281,0.0,0.25,2.8918555,25.467274,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.63514394,train
2024-07-15 00:37:00.000243188,0.61666673,27.754904,0.0,0.25,2.6765766,25.617277,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.6036126,train
2024-07-15 00:42:00.000171662,0.70000005,27.46331,0.0,0.25,2.6097686,25.586975,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.5862401,train
2024-07-15 00:47:00.000314710,0.7833334,27.622162,0.0,0.25,2.6161911,25.700747,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.5370254,train
2024-07-15 00:52:00.000243188,0.86666673,27.429974,0.0,0.25,2.4083602,25.586626,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.46642026,train
2024-07-15 00:57:00.000386236,0.9500001,27.370771,0.0,0.25,2.45029,25.611134,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.4408698,train
2024-07-15 01:02:00.000314710,1.0333334,27.043339,0.0,0.25,2.460825,25.666454,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.44164062,train
2024-07-15 01:07:00.000028610,1.1166667,26.93074,0.0,0.25,2.6525776,25.630692,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.41283828,train
2024-07-15 01:12:00.000171662,1.2,26.481783,0.0,0.25,2.431642,25.75561,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.40744004,train
2024-07-15 01:17:00.000314710,1.2833334,26.399492,0.0,0.25,2.4403684,25.615961,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.39864147,train
2024-07-15 01:22:00.000028610,1.3666667,26.278181,0.0,0.25,2.4848213,25.623299,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.3906649,train
2024-07-15 01:27:00.000600814,1.4500002,26.507835,0.0,0.25,2.4108288,25.813627,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.4109964,train
2024-07-15 01:32:00.000314710,1.5333334,26.147272,0.0,0.25,2.8257253,25.715702,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.43083724,train
2024-07-15 01:37:00.000457762,1.6166668,25.728737,0.0,0.25,3.015023,25.767698,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.40285602,train
2024-07-15 01:42:00.000171662,1.7,25.491962,0.0,0.25,3.1274645,25.70849,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.367741,train
2024-07-15 01:47:00.000314710,1.7833334,25.76682,0.0,0.25,3.1630304,25.84991,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.29378358,train
2024-07-15 01:52:00.000457762,1.8666668,25.962698,0.0,0.25,3.2424934,25.778372,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.28786024,train
2024-07-15 01:57:00.000171662,1.95,25.701878,0.0,0.25,3.3113937,25.823484,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.35618624,train
2024-07-15 02:02:00.000743866,2.0333335,25.831285,0.0,0.25,3.178018,25.708485,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.3671728,train
2024-07-15 02:07:00.000457762,2.1166668,25.76802,0.0,0.25,3.4206884,25.735744,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.35119024,train
2024-07-15 02:12:00.000171662,2.2,25.813284,0.0,0.25,3.421782,25.737251,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.39430416,train
2024-07-15 02:17:00.000743866,2.2833335,25.638884,0.0,0.25,3.3156807,25.723925,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.3790798,train
2024-07-15 02:22:00.000457762,2.3666668,25.678782,0.0,0.25,3.2404373,25.693867,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.35128143,train
2024-07-15 02:27:00.000171662,2.45,25.602179,0.0,0.25,3.271114,25.845657,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.32549152,train
2024-07-15 02:32:00.000743866,2.5333335,25.51295,0.0,0.25,3.4771798,25.618984,0.4,26.5,0.0,-0.0,-0.0,0.0,0.0,0.37528592,train
